Country,Year,Code,tb_due_to_hiv,tb_due_to_alcohol,tb_due_to_smoking,tb_due_to_diabetes,tb_due_to_malnourishment,0-4,May-15,16-24 years, 25-34 years, 35-44 years, 45-54 years, 55-64 years, over 65 years
Andorra,2022,AND,,0,0,0,,0,0,0,9.841551,23.978899,0,0,0
Antigua and Barbuda,2022,ATG,,0,,0,,0,0,0,0,0,7.4900756,0,0
Barbados,2022,BRB,0,0,0,0,0,0,0,0,0,5.3743215,0,0,0
Dominica,2022,DMA,,,,,1,0,0,0,0,0,0,0,0
Grenada,2022,GRD,,0,,0,,0,0,0,18.887526,0,0,0,0
Saint Kitts and Nevis,2022,KNA,,0,,0,,0,0,0,0,0,15.99744,0,0
Saint Lucia,2022,LCA,,0,,0,,0,0,0,0,0,0,9.983527,0
Saint Vincent and the Grenadines,2022,VCT,,1,,0,1,0,0,0,0,13.845621,38.208775,41.89359,0
Tonga,2022,TON,,0,0,0,,0,0,0,0,0,10.088781,0,15.024038
Croatia,2022,HRV,1,12,18,3,5,0,0,1.2071697,0.82605886,2.174567,3.3589234,5.038396,4.4393935
Iceland,2022,ISL,0,0,0,0,0,0,0,2.1360219,15.129356,0,4.386638,2.3074439,6.9985127
Estonia,2022,EST,16,31,18,4,7,0,0,2.29982,6.5551105,12.621946,17.295246,17.859268,16.123121
New Caledonia,2022,NCL,,,,,4,4.8081546,0,2.389886,9.873618,7.263571,7.6138268,6.5481453,46.926327
Samoa,2022,WSM,,1,1,1,0,0,0,5.0525465,0,13.36541,9.981534,6.832468,8.605111
Seychelles,2022,SYC,,2,1,0,,0,0,7.122507,29.792051,42.189007,0,8.630362,34.305317
Montenegro,2022,MNE,1,10,13,3,4,0,0,12.895905,20.55076,10.055641,22.336662,20.13085,19.269493
Bosnia and Herzegovina,2022,BIH,2,94,130,27,40,0,0,15.818189,22.122139,17.997623,23.194885,34.767403,47.06143
Belize,2022,BLZ,16,15,4,6,15,2.715694,0,16.593273,30.553434,40.007275,71.87647,52.706875,33.926235
Macao,2022,MAC,,,,,32,2.5546699,0,19.403854,35.274784,33.99915,44.247322,81.00653,131.71147
